Station name,NaPTAN code,
Abbey Wood,910GABWDXR,
Acton Central,910GACTNCTL,
Acton Main Line,910GACTONML,
Anerley,910GANERLEY,
Beckenham Hill,910GBCKNHMH,
Bellingham,910GBELNGHM,
Bush Hill Park,910GBHILLPK,
Bickley,910GBICKLEY,
Burnham,910GBNHAM,
Brondesbury,910GBRBY,
Brondesbury Park,910GBRBYPK,
Brockley,910GBROCKLY,
Bromley South,910GBROMLYS,
Brentwood,910GBRTWOOD,
Bruce Grove,910GBRUCGRV,
Bethnal Green,910GBTHNLGR,
Cambridge Heath,910GCAMHTH,
Catford,910GCATFORD,
Crofton Park,910GCFPK,
Chadwell Heath,910GCHDWLHT,
Cheshunt,910GCHESHNT,
Chingford,910GCHINGFD,
Clapton,910GCLAPTON,
Caledonian Road & Barnsbury,910GCLDNNRB,
Clapham High Street,910GCLPHHS,
Camden Road,910GCMDNRD,
Canonbury,910GCNNB,
Coulsdon South,910GCOLSDNS,
Cricklewood,910GCRKLWD,
Charlton,910GCRLN,
Crouch Hill,910GCROUCHH,
Carpenders Park,910GCRPNDPK,
Carshalton,910GCRSHLTN,
City Thameslink,910GCTMSLNK,
Dalston Junction,910GDALS,
Dalston Kingsland,910GDALSKLD,
Dartford,910GDARTFD,
Denmark Hill,910GDENMRKH,
Deptford,910GDEPTFD,
Edmonton Green,910GEDMNGRN,
Elstree & Borehamwood,910GELTR,
Emerson Park,910GEMRSPKH,
Enfield Town,910GENFLDTN,
Mitcham Eastfields,910GESTFLDS,
Finchley Road & Frognal,910GFNCHLYR,
Forest Hill,910GFORESTH,
Forest Gate,910GFRSTGT,
Gidea Park,910GGIDEAPK,
Goodmayes,910GGODMAYS,
Gospel Oak,910GGOSPLOK,
Hackney Central,910GHACKNYC,
Hackney Wick,910GHACKNYW,
Haggerston,910GHAGGERS,
Hackney Downs,910GHAKNYNM,
Hanwell,910GHANWELL,
Hayes & Harlington,910GHAYESAH,
Hendon,910GHDON,
Headstone Lane,910GHEDSTNL,
Herne Hill,910GHERNEH,
Highams Park,910GHGHMSPK,
Hackbridge,910GHKBG,
Hampstead Heath,910GHMPSTDH,
Homerton,910GHOMRTON,
Honor Oak Park,910GHONROPK,
Hoxton,910GHOXTON,
Harringay Green Lanes,910GHRGYGL,
Harold Wood,910GHRLDWOD,
Hatch End,910GHTCHEND,
Haydons Road,910GHYDNSRD,
Ilford,910GILFORD,
Iver,910GIVER,
Kensal Rise,910GKENR,
Kilburn High Road,910GKLBRNHR,
Kentish Town West,910GKNTSHTW,
Langley,910GLANGLEY,
Loughborough Junction,910GLBGHJN,
Leyton Midland Road,910GLEYTNMR,
